si_no,ba_name,oa_name,sdca_name,bts_type,tower_type,bts_name,rp_id,site_type,sites_having_acs,acs_count,make,ac_capacity,status_of_ac,ac_pm_cm,free_cooling_available,site_load_gt_10kw,remarks,is_completed
82,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Tekumatla_WL2218,WL2218,,,,,,,,,,,false
83,WARANGAL,WARANGAL OA,Bhupalapally,NBSNL,,Odithala_WL5142,WL5142,,,,,,,,,,,false
84,WARANGAL,WARANGAL OA,Parkal,IP_GTL,,Isipet_GTL_WL5079,WL5079,,,,,,,,,,,false
85,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Pulakurthy_WL2267,WL2267,,,,,,,,,,,false
86,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Mogullapalli_WL2245,WL2245,,,,,,,,,,,false
87,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Shyampet-NB_WL2090,WL2090,,,,,,,,,,,false
88,WARANGAL,WARANGAL OA,Bhupalapally,NBSNL,,Jangedu Mini_WL2161,WL2161,,,,,,,,,,,false
89,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Challagarega_WL2143,WL2143,,,,,,,,,,,false
90,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Chityala_WL2064,WL2064,,,,,,,,,,,false
91,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Regonda_WL2089,WL2089,,,,,,,,,,,false
92,WARANGAL,WARANGAL OA,Parkal,NBSNL,,KTPP-Chelpur_WL5116,WL5116,,,,,,,,,,,false
93,WARANGAL,WARANGAL OA,Parkal,NBSNL,,Parakala_WL_WL2039,WL2039,,,,,,,,,,,false
94,WARANGAL,WARANGAL OA,Parkal,NBSNL,,ParkalNB_WL2132,WL2132,,,,,,,,,,,false
95,WARANGAL,WARANGAL OA,Bhupalapally,NBSNL,,Manjurnagar_WL2244,WL2244,,,,,,,,,,,false
96,WARANGAL,WARANGAL OA,Bhupalapally,NBSNL,,Bhupalapally-II_WL5151,WL5151,,,,,,,,,,,false
97,WARANGAL,WARANGAL OA,Bhupalapally,BSNL,,Bhupalapally_WL_WL2012,WL2012,,,,,,,,,,,false
98,WARANGAL,WARANGAL OA,Bhupalapally,BSNL,,Chelpur_WL2081,WL2081,,,,,,,,,,,false
